M, N, K, iter, error, time
256, 19, 115, 1, 275.955607, 10.000000
256, 19, 115, 2, 275.955607, 10.000000
256, 19, 115, 3, 275.955607, 10.000000
256, 19, 115, 4, 275.955607, 10.000000
256, 19, 115, 5, 275.955607, 10.000000
256, 20, -1, 0, 254.498534, 20.000000
256, 20, 20, 1, 722593.820126, 10.000000
256, 20, 20, 2, 722593.820126, 10.000000
256, 20, 20, 3, 722593.820126, 0.000000
256, 20, 20, 4, 722593.820126, 0.000000
256, 20, 20, 5, 722593.820126, 10.000000
256, 20, 32, 1, 1084.908697, 10.000000
256, 20, 32, 2, 1084.908697, 0.000000
256, 20, 32, 3, 1084.908697, 10.000000
256, 20, 32, 4, 1084.908697, 10.000000
256, 20, 32, 5, 1084.908697, 10.000000
256, 20, 44, 1, 689.151981, 10.000000
256, 20, 44, 2, 689.151981, 0.000000
256, 20, 44, 3, 689.151981, 10.000000
256, 20, 44, 4, 689.151981, 10.000000
256, 20, 44, 5, 689.151981, 10.000000
256, 20, 56, 1, 376.397054, 0.000000
256, 20, 56, 2, 376.397054, 10.000000
256, 20, 56, 3, 376.397054, 10.000000
256, 20, 56, 4, 376.397054, 0.000000
256, 20, 56, 5, 376.397054, 0.000000
256, 20, 68, 1, 340.329928, 10.000000
256, 20, 68, 2, 340.329928, 10.000000
256, 20, 68, 3, 340.329928, 0.000000
256, 20, 68, 4, 340.329928, 10.000000
256, 20, 68, 5, 340.329928, 10.000000
256, 20, 80, 1, 303.383803, 10.000000
256, 20, 80, 2, 303.383803, 10.000000
256, 20, 80, 3, 303.383803, 10.000000
256, 20, 80, 4, 303.383803, 10.000000
256, 20, 80, 5, 303.383803, 10.000000
256, 20, 92, 1, 284.626483, 10.000000
256, 20, 92, 2, 284.626483, 10.000000
256, 20, 92, 3, 284.626483, 10.000000
256, 20, 92, 4, 284.626483, 10.000000
256, 20, 92, 5, 284.626483, 10.000000
256, 20, 104, 1, 279.125679, 10.000000
256, 20, 104, 2, 279.125679, 0.000000
256, 20, 104, 3, 279.125679, 10.000000
256, 20, 104, 4, 279.125679, 10.000000
256, 20, 104, 5, 279.125679, 10.000000
256, 20, 116, 1, 277.836475, 10.000000
256, 20, 116, 2, 277.836475, 10.000000
256, 20, 116, 3, 277.836475, 10.000000
256, 20, 116, 4, 273.733959, 10.000000
256, 20, 116, 5, 273.733959, 10.000000
256, 21, -1, 0, 254.271588, 20.000000
256, 21, 21, 1, 242685.255351, 0.000000
256, 21, 21, 2, 242685.255351, 10.000000
256, 21, 21, 3, 242685.255351, 0.000000
256, 21, 21, 4, 242685.255351, 10.000000
256, 21, 21, 5, 242685.255351, 10.000000
256, 21, 33, 1, 938.778724, 0.000000
256, 21, 33, 2, 938.778724, 10.000000
256, 21, 33, 3, 938.778724, 0.000000
256, 21, 33, 4, 938.778724, 10.000000
256, 21, 33, 5, 938.778724, 10.000000
256, 21, 45, 1, 523.480903, 10.000000
256, 21, 45, 2, 523.480903, 10.000000
256, 21, 45, 3, 523.480903, 10.000000
256, 21, 45, 4, 523.480903, 10.000000
256, 21, 45, 5, 523.480903, 0.000000
256, 21, 57, 1, 378.096298, 10.000000
256, 21, 57, 2, 378.096298, 10.000000
256, 21, 57, 3, 378.096298, 10.000000
256, 21, 57, 4, 378.096298, 10.000000
256, 21, 57, 5, 378.096298, 10.000000
256, 21, 69, 1, 332.436808, 10.000000
256, 21, 69, 2, 332.436808, 10.000000
256, 21, 69, 3, 332.436808, 10.000000
256, 21, 69, 4, 332.436808, 0.000000
256, 21, 69, 5, 332.436808, 10.000000
256, 21, 81, 1, 301.365343, 10.000000
256, 21, 81, 2, 301.365343, 10.000000
256, 21, 81, 3, 301.365343, 10.000000
256, 21, 81, 4, 301.365343, 10.000000
256, 21, 81, 5, 301.365343, 10.000000
256, 21, 93, 1, 286.316083, 0.000000
256, 21, 93, 2, 286.316083, 10.000000
256, 21, 93, 3, 286.316083, 10.000000
256, 21, 93, 4, 286.316083, 10.000000
256, 21, 93, 5, 286.316083, 10.000000
256, 21, 105, 1, 280.831911, 10.000000
256, 21, 105, 2, 280.831911, 10.000000
256, 21, 105, 3, 280.831911, 10.000000
256, 21, 105, 4, 280.831911, 10.000000
256, 21, 105, 5, 280.831911, 10.000000
256, 21, 117, 1, 275.572329, 10.000000
256, 21, 117, 2, 275.572329, 10.000000
256, 21, 117, 3, 275.572329, 10.000000
256, 21, 117, 4, 275.572329, 10.000000
256, 21, 117, 5, 275.572329, 20.000000
256, 22, -1, 0, 254.187653, 10.000000
256, 22, 22, 1, 12039167.760831, 10.000000
256, 22, 22, 2, 12039167.760831, 10.000000
256, 22, 22, 3, 12039167.760831, 0.000000
256, 22, 22, 4, 12039167.760831, 10.000000
256, 22, 22, 5, 12039167.760831, 0.000000
256, 22, 34, 1, 1350.918999, 10.000000
256, 22, 34, 2, 1350.918999, 10.000000
256, 22, 34, 3, 1350.918999, 0.000000
256, 22, 34, 4, 1350.918999, 10.000000
256, 22, 34, 5, 1350.918999, 10.000000
256, 22, 46, 1, 512.094452, 10.000000
256, 22, 46, 2, 512.094452, 0.000000
256, 22, 46, 3, 512.094452, 10.000000
256, 22, 46, 4, 512.094452, 10.000000
256, 22, 46, 5, 512.094452, 10.000000
256, 22, 58, 1, 347.825925, 0.000000
256, 22, 58, 2, 347.825925, 0.000000
256, 22, 58, 3, 347.825925, 10.000000
256, 22, 58, 4, 347.825925, 10.000000
256, 22, 58, 5, 347.825925, 10.000000
256, 22, 70, 1, 314.720601, 10.000000
256, 22, 70, 2, 314.720601, 0.000000
256, 22, 70, 3, 314.720601, 10.000000
256, 22, 70, 4, 314.720601, 10.000000
256, 22, 70, 5, 314.720601, 10.000000
256, 22, 82, 1, 294.687836, 10.000000
256, 22, 82, 2, 294.687836, 10.000000
256, 22, 82, 3, 294.687836, 10.000000
256, 22, 82, 4, 294.687836, 10.000000
256, 22, 82, 5, 294.687836, 10.000000
256, 22, 94, 1, 283.887863, 10.000000
256, 22, 94, 2, 283.887863, 10.000000
256, 22, 94, 3, 283.887863, 10.000000
256, 22, 94, 4, 283.887863, 10.000000
256, 22, 94, 5, 283.887863, 10.000000
256, 22, 106, 1, 279.230209, 10.000000
256, 22, 106, 2, 279.230209, 10.000000
256, 22, 106, 3, 279.230209, 10.000000
256, 22, 106, 4, 279.230209, 10.000000
256, 22, 106, 5, 279.230209, 10.000000
256, 22, 118, 1, 275.182723, 10.000000
256, 22, 118, 2, 275.182723, 20.000000
256, 22, 118, 3, 275.182723, 10.000000
256, 22, 118, 4, 275.182723, 10.000000
256, 22, 118, 5, 275.182723, 10.000000
